Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Jake Burger,MacKenzie Gore,Left,Home,3,Right,5.83,0.2,0.29,0.33,0.25
Jonah Bride,MacKenzie Gore,Left,Home,4,Right,5.83,0.21,0.29,0,0.25
Otto Lopez,MacKenzie Gore,Left,Home,5,Right,5.83,0.23,0.29,0.0,0.25
Cristian Pache,MacKenzie Gore,Left,Home,6,Right,5.83,0.2,0.29,0.17,0.24
David Hensley,MacKenzie Gore,Left,Home,7,Right,5.83,0.27,0.29,0,0.28
Kyle Stowers,MacKenzie Gore,Left,Home,8,Left,5.83,0.18,0.3,0,0.24
Nick Fortes,MacKenzie Gore,Left,Home,9,Right,5.83,0.2,0.29,0.33,0.24
Jarren Duran,Tylor Megill,Right,Away,1,Left,5.5,0.28,0.21,0,0.25
Wilyer Abreu,Tylor Megill,Right,Away,2,Left,5.5,0.24,0.21,0,0.22
Tyler O'Neill,Tylor Megill,Right,Away,3,Right,5.5,0.18,0.2,0.5,0.2
Rafael Devers,Tylor Megill,Right,Away,4,Left,5.5,0.25,0.21,0,0.23
Triston Casas,Tylor Megill,Right,Away,5,Left,5.5,0.21,0.21,0,0.21
Masataka Yoshida,Tylor Megill,Right,Away,6,Left,5.5,0.26,0.21,0,0.23
Connor Wong,Tylor Megill,Right,Away,7,Right,5.5,0.26,0.2,0,0.23
Enmanuel Valdez,Tylor Megill,Right,Away,8,Left,5.5,0.2,0.21,0,0.2
Ceddanne Rafaela,Tylor Megill,Right,Away,9,Right,5.5,0.25,0.2,0,0.23
Francisco Lindor,Tanner Houck,Right,Home,1,Both,5.83,0.28,0.22,0,0.25
Brandon Nimmo,Tanner Houck,Right,Home,2,Left,5.83,0.18,0.21,0,0.2
Mark Vientos,Tanner Houck,Right,Home,3,Right,5.83,0.25,0.23,0,0.24
Pete Alonso,Tanner Houck,Right,Home,4,Right,5.83,0.21,0.23,0,0.22
Jesse Winker,Tanner Houck,Right,Home,5,Left,5.83,0.26,0.21,0.25,0.24
Starling Marte,Tanner Houck,Right,Home,6,Right,5.83,0.24,0.23,0.0,0.23
Jose Iglesias,Tanner Houck,Right,Home,7,Right,5.83,0.24,0.23,0,0.24
Jeff McNeil,Tanner Houck,Right,Home,8,Left,5.83,0.2,0.21,0,0.21
Francisco Alvarez,Tanner Houck,Right,Home,9,Right,5.83,0.21,0.23,0,0.22
Charlie Blackmon,Charlie Morton,Right,Away,1,Left,5.83,0.19,0.21,0.21,0.2
Ezequiel Tovar,Charlie Morton,Right,Away,2,Right,5.83,0.25,0.23,0.17,0.24
Ryan McMahon,Charlie Morton,Right,Away,3,Left,5.83,0.22,0.21,0.23,0.22
Brenton Doyle,Charlie Morton,Right,Away,4,Right,5.83,0.24,0.23,0.25,0.24
Brendan Rodgers,Charlie Morton,Right,Away,5,Right,5.83,0.25,0.23,0.5,0.25
Michael Toglia,Charlie Morton,Right,Away,6,Both,5.83,0.17,0.22,0.0,0.19
Nolan Jones,Charlie Morton,Right,Away,7,Left,5.83,0.2,0.21,0.0,0.2
Jordan Beck,Charlie Morton,Right,Away,8,Right,5.83,0.17,0.23,0,0.2
Drew Romo,Charlie Morton,Right,Away,9,Both,5.83,0.2,0.22,0,0.21
Michael Harris II,Bradley Blalock,Right,Home,1,Left,nan,0.23,0.22,0,0.23
Jorge Soler,Bradley Blalock,Right,Home,2,Right,nan,0.2,0.25,0,0.22
Marcell Ozuna,Bradley Blalock,Right,Home,3,Right,nan,0.25,0.25,0,0.25
