Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Nick Fortes,MacKenzie Gore,Left,Home,9,Right,3,1,75.0,14,129.0,25,259.0,56,617.0,158,260,65,463.0,116,50,17,6.0,29.0
Jarren Duran,Tylor Megill,Right,Away,1,Left,0,0,429.0,122,329.0,87,628.0,168,231.0,50,145,29,117.0,26,25,5,20.0,69.0
Wilyer Abreu,Tylor Megill,Right,Away,2,Left,0,0,316.0,81,180.0,42,371.0,90,231.0,50,145,29,117.0,26,25,5,10.0,44.0
Tyler O'Neill,Tylor Megill,Right,Away,3,Right,2,1,256.0,53,204.0,51,395.0,88,231.0,50,145,29,114.0,24,25,5,6.0,47.0
Rafael Devers,Tylor Megill,Right,Away,4,Left,0,0,336.0,89,281.0,66,533.0,132,231.0,50,145,29,117.0,26,25,5,,
Triston Casas,Tylor Megill,Right,Away,5,Left,0,0,116.0,26,94.0,20,165.0,36,231.0,50,145,29,117.0,26,25,5,12.0,63.0
Masataka Yoshida,Tylor Megill,Right,Away,6,Left,0,0,258.0,75,178.0,45,353.0,92,231.0,50,145,29,117.0,26,25,5,12.0,53.0
Connor Wong,Tylor Megill,Right,Away,7,Right,0,0,272.0,70,220.0,58,409.0,106,231.0,50,145,29,114.0,24,25,5,,
Enmanuel Valdez,Tylor Megill,Right,Away,8,Left,0,0,156.0,35,98.0,15,189.0,38,231.0,50,145,29,117.0,26,25,5,,
Ceddanne Rafaela,Tylor Megill,Right,Away,9,Right,0,0,366.0,92,258.0,65,504.0,122,231.0,50,145,29,114.0,24,25,5,,
Francisco Lindor,Tanner Houck,Right,Home,1,Both,0,0,470.0,115,308.0,72,630.0,155,684.0,146,291,60,684.0,146,29,7,21.0,64.0
Brandon Nimmo,Tanner Houck,Right,Home,2,Left,0,0,426.0,77,281.0,49,566.0,111,684.0,146,291,60,363.0,69,29,7,11.0,57.0
Mark Vientos,Tanner Houck,Right,Home,3,Right,0,0,246.0,56,178.0,44,356.0,92,684.0,146,291,60,321.0,77,29,7,15.0,55.0
Pete Alonso,Tanner Houck,Right,Home,4,Right,0,0,450.0,98,290.0,63,596.0,128,684.0,146,291,60,321.0,77,29,7,12.0,63.0
Jesse Winker,Tanner Houck,Right,Home,5,Left,4,1,359.0,85,207.0,50,461.0,106,684.0,146,291,60,363.0,69,29,7,11.0,37.0
Starling Marte,Tanner Houck,Right,Home,6,Right,2,0,217.0,51,153.0,36,307.0,78,684.0,146,291,60,321.0,77,29,7,,
Jose Iglesias,Tanner Houck,Right,Home,7,Right,0,0,127.0,33,76.0,26,199.0,57,684.0,146,291,60,321.0,77,29,7,6.0,34.0
Jeff McNeil,Tanner Houck,Right,Home,8,Left,0,0,350.0,76,234.0,43,462.0,101,684.0,146,291,60,363.0,69,29,7,9.0,45.0
Francisco Alvarez,Tanner Houck,Right,Home,9,Right,0,0,208.0,46,132.0,26,274.0,59,684.0,146,291,60,321.0,77,29,7,,
Charlie Blackmon,Charlie Morton,Right,Away,1,Left,19,4,318.0,69,217.0,41,421.0,94,579.0,128,312,70,322.0,62,23,5,7.0,46.0
Ezequiel Tovar,Charlie Morton,Right,Away,2,Right,6,1,396.0,108,297.0,76,582.0,151,579.0,128,312,70,257.0,66,23,5,13.0,59.0
Ryan McMahon,Charlie Morton,Right,Away,3,Left,13,3,377.0,79,278.0,57,551.0,120,579.0,128,312,70,322.0,62,23,5,13.0,55.0
Brenton Doyle,Charlie Morton,Right,Away,4,Right,4,1,384.0,96,279.0,55,530.0,131,579.0,128,312,70,257.0,66,23,5,14.0,57.0
Brendan Rodgers,Charlie Morton,Right,Away,5,Right,6,3,347.0,85,238.0,51,475.0,124,579.0,128,312,70,257.0,66,23,5,15.0,53.0
Michael Toglia,Charlie Morton,Right,Away,6,Both,2,0,238.0,45,182.0,33,359.0,69,579.0,128,312,70,579.0,128,23,5,9.0,66.0
Nolan Jones,Charlie Morton,Right,Away,7,Left,4,0,156.0,29,104.0,18,234.0,44,579.0,128,312,70,322.0,62,23,5,11.0,49.0
Jordan Beck,Charlie Morton,Right,Away,8,Right,0,0,93.0,20,82.0,14,138.0,27,579.0,128,312,70,257.0,66,23,5,6.0,44.0
Drew Romo,Charlie Morton,Right,Away,9,Both,0,0,23.0,5,19.0,3,38.0,7,579.0,128,312,70,579.0,128,23,5,7.0,36.0
Michael Harris II,Bradley Blalock,Right,Home,1,Left,0,0,235.0,53,156.0,41,355.0,83,101.0,26,52,11,64.0,15,28,6,12.0,54.0
Jorge Soler,Bradley Blalock,Right,Home,2,Right,0,0,347.0,68,225.0,47,484.0,96,101.0,26,52,11,37.0,11,28,6,,
Marcell Ozuna,Bradley Blalock,Right,Home,3,Right,0,0,439.0,119,268.0,72,583.0,159,101.0,26,52,11,37.0,11,28,6,15.0,66.0
Matt Olson,Bradley Blalock,Right,Home,4,Left,0,0,413.0,80,261.0,56,578.0,120,101.0,26,52,11,64.0,15,28,6,14.0,63.0
Travis d'Arnaud,Bradley Blalock,Right,Home,5,Right,0,0,221.0,49,125.0,32,286.0,65,101.0,26,52,11,37.0,11,28,6,5.0,26.0
Whit Merrifield,Bradley Blalock,Right,Home,6,Right,0,0,183.0,37,136.0,25,301.0,58,101.0,26,52,11,37.0,11,28,6,14.0,68.0
Jarred Kelenic,Bradley Blalock,Right,Home,7,Left,0,0,349.0,76,203.0,47,417.0,90,101.0,26,52,11,64.0,15,28,6,,
Orlando Arcia,Bradley Blalock,Right,Home,8,Right,0,0,373.0,81,237.0,43,504.0,104,101.0,26,52,11,37.0,11,28,6,10.0,64.0
Gio Urshela,Bradley Blalock,Right,Home,9,Right,0,0,278.0,73,190.0,43,365.0,87,101.0,26,52,11,37.0,11,28,6,13.0,46.0
Masyn Winn,Colin Rea,Right,Away,1,Right,6,2,364.0,100,269.0,67,539.0,140,606.0,134,305,62,296.0,66,122,31,21.0,75.0
Alec Burleson,Colin Rea,Right,Away,2,Left,2,0,373.0,105,251.0,58,503.0,131,606.0,134,305,62,310.0,68,122,31,15.0,71.0
Nolan Arenado,Colin Rea,Right,Away,3,Right,10,0,412.0,105,292.0,64,547.0,135,606.0,134,305,62,296.0,66,122,31,15.0,67.0
Brendan Donovan,Colin Rea,Right,Away,4,Left,3,1,401.0,98,293.0,70,562.0,137,606.0,134,305,62,310.0,68,122,31,15.0,67.0
Paul Goldschmidt,Colin Rea,Right,Away,5,Right,10,2,420.0,91,303.0,73,565.0,129,606.0,134,305,62,296.0,66,122,31,21.0,58.0
Lars Nootbaar,Colin Rea,Right,Away,6,Left,5,2,236.0,51,171.0,40,327.0,71,606.0,134,305,62,310.0,68,122,31,17.0,66.0
Jordan Walker,Colin Rea,Right,Away,7,Right,2,0,62.0,13,63.0,14,98.0,16,606.0,134,305,62,296.0,66,122,31,6.0,21.0
Ivan Herrera,Colin Rea,Right,Away,8,Right,0,0,144.0,39,110.0,32,212.0,54,606.0,134,305,62,296.0,66,122,31,6.0,26.0
Michael Siani,Colin Rea,Right,Away,9,Left,2,1,170.0,44,138.0,31,256.0,61,606.0,134,305,62,310.0,68,122,31,,
Brice Turang,Sonny Gray,Right,Home,1,Left,6,2,429.0,102,251.0,46,526.0,122,592.0,127,278,66,288.0,67,29,8,12.0,63.0
Jackson Chourio,Sonny Gray,Right,Home,2,Right,2,0,340.0,87,235.0,53,475.0,123,592.0,127,278,66,304.0,60,29,8,20.0,72.0
William Contreras,Sonny Gray,Right,Home,3,Right,6,2,461.0,110,281.0,69,600.0,148,592.0,127,278,66,304.0,60,29,8,14.0,82.0
Jake Bauers,Sonny Gray,Right,Home,4,Left,6,2,268.0,43,159.0,26,298.0,51,592.0,127,278,66,288.0,67,29,8,3.0,33.0
Willy Adames,Sonny Gray,Right,Home,5,Right,18,5,450.0,112,278.0,64,597.0,135,592.0,127,278,66,304.0,60,29,8,16.0,77.0
Garrett Mitchell,Sonny Gray,Right,Home,6,Left,0,0,133.0,30,67.0,14,158.0,36,592.0,127,278,66,288.0,67,29,8,11.0,43.0
Rhys Hoskins,Sonny Gray,Right,Home,7,Right,15,4,339.0,64,200.0,37,442.0,82,592.0,127,278,66,304.0,60,29,8,6.0,65.0
Sal Frelick,Sonny Gray,Right,Home,8,Left,5,0,383.0,94,218.0,55,456.0,110,592.0,127,278,66,288.0,67,29,8,14.0,45.0
Joey Ortiz,Sonny Gray,Right,Home,9,Right,4,1,298.0,66,195.0,42,421.0,88,592.0,127,278,66,304.0,60,29,8,9.0,57.0
Steven Kwan,Seth Lugo,Right,Away,1,Left,5,2,349.0,89,256.0,67,498.0,133,726.0,156,366,80,378.0,86,131,36,9.0,80.0
Andres Gimenez,Seth Lugo,Right,Away,2,Left,5,0,379.0,90,292.0,69,537.0,125,726.0,156,366,80,378.0,86,131,36,12.0,66.0
Jose Ramirez,Seth Lugo,Right,Away,3,Both,7,1,418.0,91,302.0,69,583.0,146,726.0,156,366,80,726.0,156,131,36,14.0,72.0
Josh Naylor,Seth Lugo,Right,Away,4,Left,6,2,385.0,89,274.0,56,544.0,119,726.0,156,366,80,378.0,86,131,36,14.0,70.0
Jhonkensy Noel,Seth Lugo,Right,Away,5,Right,3,0,101.0,23,71.0,15,152.0,35,726.0,156,366,80,348.0,70,131,36,13.0,55.0
Kyle Manzardo,Seth Lugo,Right,Away,6,Left,3,0,78.0,19,60.0,13,97.0,22,726.0,156,366,80,378.0,86,131,36,5.0,12.0
Lane Thomas,Seth Lugo,Right,Away,7,Right,7,1,307.0,59,210.0,47,438.0,93,726.0,156,366,80,348.0,70,131,36,11.0,43.0
Bo Naylor,Seth Lugo,Right,Away,8,Left,2,2,257.0,50,182.0,37,327.0,63,726.0,156,366,80,378.0,86,131,36,9.0,36.0
Brayan Rocchio,Seth Lugo,Right,Away,9,Both,2,0,264.0,52,195.0,36,375.0,70,726.0,156,366,80,726.0,156,131,36,10.0,45.0
Tommy Pham,Ben Lively,Right,Home,1,Right,9,3,293.0,70,203.0,48,386.0,89,542.0,119,271,57,279.0,66,23,4,,
Bobby Witt Jr,Ben Lively,Right,Home,2,Right,6,3,494.0,152,303.0,107,610.0,189,542.0,119,271,57,279.0,66,23,4,16.0,72.0
Michael Massey,Ben Lively,Right,Home,3,Left,5,0,230.0,56,155.0,42,277.0,68,542.0,119,271,57,263.0,53,23,4,8.0,44.0
Salvador Perez,Ben Lively,Right,Home,4,Right,4,2,424.0,102,283.0,68,557.0,139,542.0,119,271,57,279.0,66,23,4,13.0,65.0
Paul DeJong,Ben Lively,Right,Home,5,Right,9,3,330.0,75,214.0,48,445.0,96,542.0,119,271,57,279.0,66,23,4,7.0,47.0
MJ Melendez,Ben Lively,Right,Home,6,Left,5,2,328.0,67,194.0,41,397.0,78,542.0,119,271,57,263.0,53,23,4,12.0,54.0
Freddy Fermin,Ben Lively,Right,Home,7,Right,3,1,209.0,54,132.0,38,317.0,85,542.0,119,271,57,279.0,66,23,4,,
Maikel Garcia,Ben Lively,Right,Home,8,Right,4,2,427.0,94,291.0,64,559.0,124,542.0,119,271,57,279.0,66,23,4,11.0,54.0
Kyle Isbel,Ben Lively,Right,Home,9,Left,2,1,302.0,67,197.0,45,355.0,76,542.0,119,271,57,263.0,53,23,4,,
Isiah Kiner-Falefa,Shota Imanaga,Left,Away,1,Right,0,0,106.0,24,199.0,49,400.0,102,590.0,131,301,66,473.0,107,24,2,11.0,58.0
Bryan Reynolds,Shota Imanaga,Left,Away,2,Both,3,1,172.0,45,306.0,75,592.0,151,590.0,131,301,66,590.0,131,24,2,16.0,65.0
Nick Gonzales,Shota Imanaga,Left,Away,3,Right,3,0,75.0,21,156.0,44,294.0,75,590.0,131,301,66,473.0,107,24,2,11.0,32.0
Andrew McCutchen,Shota Imanaga,Left,Away,4,Right,3,0,126.0,23,239.0,49,452.0,93,590.0,131,301,66,473.0,107,24,2,4.0,17.0
Oneil Cruz,Shota Imanaga,Left,Away,5,Left,0,0,129.0,29,255.0,54,512.0,127,590.0,131,301,66,117.0,24,24,2,19.0,63.0
Connor Joe,Shota Imanaga,Left,Away,6,Right,3,0,155.0,34,200.0,42,384.0,80,590.0,131,301,66,473.0,107,24,2,7.0,40.0
Bryan De La Cruz,Shota Imanaga,Left,Away,7,Right,3,0,173.0,47,260.0,55,553.0,124,590.0,131,301,66,473.0,107,24,2,9.0,43.0
Jared Triolo,Shota Imanaga,Left,Away,8,Right,3,1,106.0,18,199.0,41,363.0,66,590.0,131,301,66,473.0,107,24,2,10.0,55.0
Henry Davis,Shota Imanaga,Left,Away,9,Right,0,0,27.0,6,75.0,10,115.0,15,590.0,131,301,66,473.0,107,24,2,,
Ian Happ,Domingo German,Right,Home,1,Both,4,0,430.0,88,255.0,59,557.0,118,81.0,16,62,10,81.0,16,1,0,20.0,71.0
Michael Busch,Domingo German,Right,Home,2,Left,2,0,411.0,89,216.0,45,487.0,107,81.0,16,62,10,41.0,7,1,0,9.0,61.0
Seiya Suzuki,Domingo German,Right,Home,3,Right,4,3,375.0,95,215.0,44,490.0,120,81.0,16,62,10,40.0,9,1,0,20.0,77.0
Cody Bellinger,Domingo German,Right,Home,4,Left,7,0,342.0,77,217.0,49,475.0,115,81.0,16,62,10,41.0,7,1,0,13.0,72.0
Isaac Paredes,Domingo German,Right,Home,5,Right,7,0,424.0,75,279.0,48,555.0,108,81.0,16,62,10,40.0,9,1,0,10.0,67.0
Nico Hoerner,Domingo German,Right,Home,6,Right,5,0,447.0,99,267.0,60,555.0,129,81.0,16,62,10,40.0,9,1,0,15.0,63.0
Dansby Swanson,Domingo German,Right,Home,7,Right,4,1,403.0,82,234.0,51,496.0,106,81.0,16,62,10,40.0,9,1,0,15.0,66.0
Pete Crow-Armstrong,Domingo German,Right,Home,8,Left,2,1,256.0,54,131.0,22,315.0,68,81.0,16,62,10,41.0,7,1,0,17.0,60.0
Miguel Amaya,Domingo German,Right,Home,9,Right,2,2,232.0,56,146.0,29,301.0,66,81.0,16,62,10,40.0,9,1,0,15.0,39.0
Gleyber Torres,Nathan Eovaldi,Right,Away,1,Right,48,10,399.0,87,300.0,70,551.0,121,560.0,117,318,59,280.0,52,94,20,18.0,75.0
Juan Soto,Nathan Eovaldi,Right,Away,2,Left,6,2,414.0,103,324.0,74,616.0,146,560.0,117,318,59,280.0,65,94,20,12.0,70.0
Aaron Judge,Nathan Eovaldi,Right,Away,3,Right,38,14,444.0,121,318.0,84,611.0,159,560.0,117,318,59,280.0,52,94,20,14.0,72.0
