Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Cedric Mullins,White Sox,Home,7,28,7,283,71,Jonathan Cannon,Right,Left,0,0,324.0,70,202.0,46,410.0,85,410.0,103,187,53,208.0,55,19,3,9.0,45.0
Jackson Holliday,White Sox,Home,8,8,0,283,71,Jonathan Cannon,Right,Left,0,0,117.0,23,68.0,12,159.0,27,410.0,103,187,53,208.0,55,19,3,8.0,55.0
Emmanuel Rivera,White Sox,Home,9,16,2,283,71,Jonathan Cannon,Right,Right,0,0,131.0,25,116.0,23,246.0,47,410.0,103,187,53,202.0,48,19,3,4.0,24.0
Jose Altuve,Reds,Away,1,59,11,282,73,Nick Martinez,Right,Right,27,6,451.0,116,301.0,81,594.0,161,445.0,110,262,74,236.0,56,125,31,11.0,56.0
Yordan Alvarez,Reds,Away,2,20,5,282,73,Nick Martinez,Right,Left,0,0,379.0,93,283.0,87,554.0,151,445.0,110,262,74,209.0,54,125,31,15.0,53.0
Alex Bregman,Reds,Away,3,50,14,282,73,Nick Martinez,Right,Right,12,4,394.0,101,309.0,80,545.0,131,445.0,110,262,74,236.0,56,125,31,9.0,38.0
Yainer Diaz,Reds,Away,4,7,3,282,73,Nick Martinez,Right,Right,0,0,377.0,112,260.0,68,514.0,148,445.0,110,262,74,236.0,56,125,31,16.0,54.0
Jon Singleton,Reds,Away,5,13,0,282,73,Nick Martinez,Right,Left,7,0,278.0,62,172.0,33,353.0,72,445.0,110,262,74,209.0,54,125,31,4.0,32.0
Jeremy Pena,Reds,Away,6,12,2,282,73,Nick Martinez,Right,Right,0,0,411.0,99,292.0,71,553.0,140,445.0,110,262,74,236.0,56,125,31,10.0,52.0
Ben Gamel,Reds,Away,7,33,3,282,73,Nick Martinez,Right,Left,4,0,63.0,13,44.0,13,74.0,17,445.0,110,262,74,209.0,54,125,31,12.0,49.0
Mauricio Dubon,Reds,Away,8,14,2,282,73,Nick Martinez,Right,Right,2,1,249.0,63,185.0,48,357.0,88,445.0,110,262,74,236.0,56,125,31,12.0,41.0
Jason Heyward,Reds,Away,9,42,6,282,73,Nick Martinez,Right,Left,5,1,189.0,34,99.0,22,204.0,38,445.0,110,262,74,209.0,54,125,31,3.0,12.0
Jonathan India,Astros,Home,1,22,4,212,36,Spencer Arrighetti,Right,Right,0,0,386.0,81,261.0,62,539.0,116,537.0,114,303,65,238.0,54,18,4,14.0,62.0
Elly De La Cruz,Astros,Home,2,15,3,212,36,Spencer Arrighetti,Right,Both,0,0,401.0,100,301.0,65,595.0,138,537.0,114,303,65,537.0,114,18,4,17.0,72.0
Tyler Stephenson,Astros,Home,3,24,4,212,36,Spencer Arrighetti,Right,Right,0,0,306.0,72,229.0,55,429.0,101,537.0,114,303,65,238.0,54,18,4,17.0,56.0
TJ Friedl,Astros,Home,4,13,3,212,36,Spencer Arrighetti,Right,Left,0,0,188.0,38,132.0,26,253.0,48,537.0,114,303,65,299.0,60,18,4,7.0,59.0
Spencer Steer,Astros,Home,5,21,4,212,36,Spencer Arrighetti,Right,Right,0,0,409.0,86,296.0,57,564.0,116,537.0,114,303,65,238.0,54,18,4,12.0,68.0
Ty France,Astros,Home,6,126,34,212,36,Spencer Arrighetti,Right,Right,3,1,326.0,67,221.0,50,444.0,94,537.0,114,303,65,238.0,54,18,4,12.0,53.0
