Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Freddy Fermin,Guardians,Home,7,38,12,214,40,Ben Lively,Right,Right,3,1,209.0,54,132.0,38,317.0,85,542.0,119,271,57,279.0,66,23,4,,
Maikel Garcia,Guardians,Home,8,59,10,214,40,Ben Lively,Right,Right,4,2,427.0,94,291.0,64,559.0,124,542.0,119,271,57,279.0,66,23,4,11.0,54.0
Kyle Isbel,Guardians,Home,9,49,9,214,40,Ben Lively,Right,Left,2,1,302.0,67,197.0,45,355.0,76,542.0,119,271,57,263.0,53,23,4,,
Isiah Kiner-Falefa,Cubs,Away,1,42,6,226,55,Shota Imanaga,Left,Right,0,0,106.0,24,199.0,49,400.0,102,590.0,131,301,66,473.0,107,24,2,11.0,58.0
Bryan Reynolds,Cubs,Away,2,146,38,226,55,Shota Imanaga,Left,Both,3,1,172.0,45,306.0,75,592.0,151,590.0,131,301,66,590.0,131,24,2,16.0,65.0
Nick Gonzales,Cubs,Away,3,33,10,226,55,Shota Imanaga,Left,Right,3,0,75.0,21,156.0,44,294.0,75,590.0,131,301,66,473.0,107,24,2,11.0,32.0
Andrew McCutchen,Cubs,Away,4,121,23,226,55,Shota Imanaga,Left,Right,3,0,126.0,23,239.0,49,452.0,93,590.0,131,301,66,473.0,107,24,2,4.0,17.0
Oneil Cruz,Cubs,Away,5,50,12,226,55,Shota Imanaga,Left,Left,0,0,129.0,29,255.0,54,512.0,127,590.0,131,301,66,117.0,24,24,2,19.0,63.0
Connor Joe,Cubs,Away,6,76,24,226,55,Shota Imanaga,Left,Right,3,0,155.0,34,200.0,42,384.0,80,590.0,131,301,66,473.0,107,24,2,7.0,40.0
Bryan De La Cruz,Cubs,Away,7,42,11,226,55,Shota Imanaga,Left,Right,3,0,173.0,47,260.0,55,553.0,124,590.0,131,301,66,473.0,107,24,2,9.0,43.0
Jared Triolo,Cubs,Away,8,40,11,226,55,Shota Imanaga,Left,Right,3,1,106.0,18,199.0,41,363.0,66,590.0,131,301,66,473.0,107,24,2,10.0,55.0
Henry Davis,Cubs,Away,9,16,5,226,55,Shota Imanaga,Left,Right,0,0,27.0,6,75.0,10,115.0,15,590.0,131,301,66,473.0,107,24,2,,
Ian Happ,Pirates,Home,1,101,25,228,58,Domingo German,Right,Both,4,0,430.0,88,255.0,59,557.0,118,81.0,16,62,10,81.0,16,1,0,20.0,71.0
Michael Busch,Pirates,Home,2,40,2,228,58,Domingo German,Right,Left,2,0,411.0,89,216.0,45,487.0,107,81.0,16,62,10,41.0,7,1,0,9.0,61.0
Seiya Suzuki,Pirates,Home,3,76,21,228,58,Domingo German,Right,Right,4,3,375.0,95,215.0,44,490.0,120,81.0,16,62,10,40.0,9,1,0,20.0,77.0
Cody Bellinger,Pirates,Home,4,81,18,228,58,Domingo German,Right,Left,7,0,342.0,77,217.0,49,475.0,115,81.0,16,62,10,41.0,7,1,0,13.0,72.0
Isaac Paredes,Pirates,Home,5,43,4,228,58,Domingo German,Right,Right,7,0,424.0,75,279.0,48,555.0,108,81.0,16,62,10,40.0,9,1,0,10.0,67.0
Nico Hoerner,Pirates,Home,6,63,13,228,58,Domingo German,Right,Right,5,0,447.0,99,267.0,60,555.0,129,81.0,16,62,10,40.0,9,1,0,15.0,63.0
Dansby Swanson,Pirates,Home,7,65,19,228,58,Domingo German,Right,Right,4,1,403.0,82,234.0,51,496.0,106,81.0,16,62,10,40.0,9,1,0,15.0,66.0
Pete Crow-Armstrong,Pirates,Home,8,28,8,228,58,Domingo German,Right,Left,2,1,256.0,54,131.0,22,315.0,68,81.0,16,62,10,41.0,7,1,0,17.0,60.0
Miguel Amaya,Pirates,Home,9,26,6,228,58,Domingo German,Right,Right,2,2,232.0,56,146.0,29,301.0,66,81.0,16,62,10,40.0,9,1,0,15.0,39.0
Gleyber Torres,Rangers,Away,1,92,24,268,67,Nathan Eovaldi,Right,Right,48,10,399.0,87,300.0,70,551.0,121,560.0,117,318,59,280.0,52,94,20,18.0,75.0
Juan Soto,Rangers,Away,2,84,13,268,67,Nathan Eovaldi,Right,Left,6,2,414.0,103,324.0,74,616.0,146,560.0,117,318,59,280.0,65,94,20,12.0,70.0
Aaron Judge,Rangers,Away,3,84,21,268,67,Nathan Eovaldi,Right,Right,38,14,444.0,121,318.0,84,611.0,159,560.0,117,318,59,280.0,52,94,20,14.0,72.0
Austin Wells,Rangers,Away,4,13,1,268,67,Nathan Eovaldi,Right,Left,2,1,274.0,63,176.0,39,334.0,73,560.0,117,318,59,280.0,65,94,20,9.0,43.0
Giancarlo Stanton,Rangers,Away,5,99,27,268,67,Nathan Eovaldi,Right,Right,40,12,267.0,60,190.0,39,386.0,86,560.0,117,318,59,280.0,52,94,20,11.0,53.0
Jazz Chisholm Jr,Rangers,Away,6,36,9,268,67,Nathan Eovaldi,Right,Left,4,1,344.0,85,235.0,66,532.0,129,560.0,117,318,59,280.0,65,94,20,15.0,44.0
Anthony Rizzo,Rangers,Away,7,104,23,268,67,Nathan Eovaldi,Right,Left,26,9,222.0,47,174.0,35,298.0,62,560.0,117,318,59,280.0,65,94,20,3.0,9.0
Anthony Volpe,Rangers,Away,8,35,4,268,67,Nathan Eovaldi,Right,Right,8,0,432.0,104,317.0,75,605.0,144,560.0,117,318,59,280.0,52,94,20,17.0,58.0
Alex Verdugo,Rangers,Away,9,69,19,268,67,Nathan Eovaldi,Right,Left,8,1,378.0,83,286.0,66,553.0,119,560.0,117,318,59,280.0,65,94,20,13.0,59.0
Marcus Semien,Yankees,Home,1,136,32,224,63,Marcus Stroman,Right,Right,20,7,461.0,94,299.0,60,618.0,131,594.0,136,281,62,305.0,67,99,22,,
Corey Seager,Yankees,Home,2,81,27,224,63,Marcus Stroman,Right,Left,13,3,380.0,96,253.0,60,531.0,132,594.0,136,281,62,289.0,69,99,22,15.0,49.0
Josh Smith,Yankees,Home,3,29,7,224,63,Marcus Stroman,Right,Left,4,1,370.0,82,242.0,58,496.0,116,594.0,136,281,62,289.0,69,99,22,9.0,39.0
Adolis Garcia,Yankees,Home,4,62,15,224,63,Marcus Stroman,Right,Right,5,0,402.0,81,262.0,48,545.0,111,594.0,136,281,62,305.0,67,99,22,,
Nathaniel Lowe,Yankees,Home,5,64,15,224,63,Marcus Stroman,Right,Left,5,1,346.0,73,229.0,49,466.0,103,594.0,136,281,62,289.0,69,99,22,11.0,49.0
Josh Jung,Yankees,Home,6,39,13,224,63,Marcus Stroman,Right,Right,5,0,110.0,30,82.0,22,138.0,37,594.0,136,281,62,305.0,67,99,22,14.0,47.0
Wyatt Langford,Yankees,Home,7,21,6,224,63,Marcus Stroman,Right,Right,2,1,360.0,81,235.0,54,454.0,100,594.0,136,281,62,305.0,67,99,22,11.0,48.0
Jonah Heim,Yankees,Home,8,30,4,224,63,Marcus Stroman,Right,Both,0,0,317.0,67,218.0,47,422.0,89,594.0,136,281,62,594.0,136,99,22,5.0,32.0
Leody Taveras,Yankees,Home,9,40,8,224,63,Marcus Stroman,Right,Both,2,0,361.0,79,220.0,47,455.0,96,594.0,136,281,62,594.0,136,99,22,7.0,39.0
Shohei Ohtani,Angels,Away,1,28,10,223,41,Griffin Canning,Right,Left,0,0,403.0,106,318.0,80,618.0,158,612.0,148,338,80,318.0,78,94,23,17.0,63.0
Mookie Betts,Angels,Away,2,33,7,223,41,Griffin Canning,Right,Right,5,2,288.0,72,212.0,61,420.0,110,612.0,148,338,80,294.0,70,94,23,14.0,61.0
Freddie Freeman,Angels,Away,3,37,10,223,41,Griffin Canning,Right,Left,2,1,361.0,96,270.0,67,547.0,136,612.0,148,338,80,318.0,78,94,23,11.0,46.0
Teoscar Hernandez,Angels,Away,4,28,8,223,41,Griffin Canning,Right,Right,6,4,425.0,99,291.0,71,575.0,140,612.0,148,338,80,294.0,70,94,23,15.0,59.0
Gavin Lux,Angels,Away,5,12,2,223,41,Griffin Canning,Right,Left,2,1,375.0,90,217.0,53,420.0,97,612.0,148,338,80,318.0,78,94,23,8.0,43.0
Will Smith,Angels,Away,6,32,6,223,41,Griffin Canning,Right,Right,5,2,338.0,73,252.0,60,471.0,102,612.0,148,338,80,294.0,70,94,23,8.0,42.0
Max Muncy,Angels,Away,7,33,7,223,41,Griffin Canning,Right,Left,8,0,150.0,34,93.0,15,205.0,40,612.0,148,338,80,318.0,78,94,23,8.0,44.0
Tommy Edman,Angels,Away,8,30,7,223,41,Griffin Canning,Right,Both,2,1,37.0,7,20.0,6,54.0,14,612.0,148,338,80,612.0,148,94,23,13.0,52.0
Miguel Rojas,Angels,Away,9,30,6,223,41,Griffin Canning,Right,Right,1,0,184.0,54,160.0,50,280.0,76,612.0,148,338,80,294.0,70,94,23,11.0,36.0
Taylor Ward,Dodgers,Home,1,20,5,262,63,Bobby Miller,Right,Right,0,0,440.0,83,290.0,58,549.0,119,199.0,52,118,37,100.0,28,22,4,15.0,53.0
Zach Neto,Dodgers,Home,2,11,3,262,63,Bobby Miller,Right,Right,0,0,410.0,81,246.0,61,510.0,117,199.0,52,118,37,100.0,28,22,4,8.0,54.0
Nolan Schanuel,Dodgers,Home,3,8,2,262,63,Bobby Miller,Right,Left,0,0,400.0,87,281.0,57,519.0,111,199.0,52,118,37,99.0,24,22,4,8.0,48.0
Anthony Rendon,Dodgers,Home,4,32,10,262,63,Bobby Miller,Right,Right,0,0,192.0,37,87.0,14,223.0,44,199.0,52,118,37,100.0,28,22,4,8.0,55.0
Mickey Moniak,Dodgers,Home,5,19,2,262,63,Bobby Miller,Right,Left,0,0,336.0,76,198.0,40,363.0,79,199.0,52,118,37,99.0,24,22,4,9.0,31.0
Logan O'Hoppe,Dodgers,Home,6,7,2,262,63,Bobby Miller,Right,Right,0,0,355.0,87,237.0,57,453.0,101,199.0,52,118,37,100.0,28,22,4,,
Brandon Drury,Dodgers,Home,7,35,7,262,63,Bobby Miller,Right,Right,0,0,227.0,31,133.0,18,291.0,42,199.0,52,118,37,100.0,28,22,4,5.0,35.0
Jo Adell,Dodgers,Home,8,14,2,262,63,Bobby Miller,Right,Right,0,0,335.0,59,216.0,39,438.0,83,199.0,52,118,37,100.0,28,22,4,11.0,52.0
Niko Kavadas,Dodgers,Home,9,4,0,262,63,Bobby Miller,Right,Left,0,0,37.0,3,14.0,0,41.0,3,199.0,52,118,37,99.0,24,22,4,,
Parker Meadows,Padres,Away,1,4,1,231,54,Yu Darvish,Right,Left,0,0,169.0,34,114.0,23,196.0,40,224.0,45,164,36,105.0,23,25,9,13.0,56.0
Riley Greene,Padres,Away,2,31,4,231,54,Yu Darvish,Right,Left,0,0,368.0,86,257.0,58,482.0,109,224.0,45,164,36,105.0,23,25,9,11.0,57.0
Matt Vierling,Padres,Away,3,31,6,231,54,Yu Darvish,Right,Right,0,0,364.0,86,232.0,57,480.0,117,224.0,45,164,36,119.0,22,25,9,14.0,52.0
Kerry Carpenter,Padres,Away,4,14,4,231,54,Yu Darvish,Right,Left,0,0,200.0,56,105.0,28,225.0,58,224.0,45,164,36,105.0,23,25,9,12.0,54.0
Colt Keith,Padres,Away,5,7,1,231,54,Yu Darvish,Right,Left,0,0,409.0,94,258.0,66,476.0,114,224.0,45,164,36,105.0,23,25,9,13.0,55.0
Spencer Torkelson,Padres,Away,6,35,6,231,54,Yu Darvish,Right,Right,0,0,230.0,44,152.0,31,292.0,59,224.0,45,164,36,119.0,22,25,9,15.0,57.0
Jace Jung,Padres,Away,7,4,0,231,54,Yu Darvish,Right,Left,0,0,48.0,7,33.0,6,59.0,10,224.0,45,164,36,105.0,23,25,9,,
Trey Sweeney,Padres,Away,8,3,1,231,54,Yu Darvish,Right,Left,0,0,39.0,7,19.0,5,43.0,8,224.0,45,164,36,105.0,23,25,9,7.0,35.0
Dillon Dingler,Padres,Away,9,0,0,231,54,Yu Darvish,Right,Right,0,0,50.0,8,35.0,6,60.0,8,224.0,45,164,36,119.0,22,25,9,,
Fernando Tatis Jr,Tigers,Home,1,11,0,206,40,Keider Montero,Right,Right,0,0,237.0,65,174.0,36,348.0,86,292.0,70,118,29,143.0,38,22,3,,
Luis Arraez,Tigers,Home,2,45,9,206,40,Keider Montero,Right,Left,0,0,386.0,123,291.0,71,580.0,171,292.0,70,118,29,149.0,32,22,3,20.0,60.0
Jurickson Profar,Tigers,Home,3,10,2,206,40,Keider Montero,Right,Both,0,0,406.0,91,263.0,67,569.0,136,292.0,70,118,29,292.0,70,22,3,8.0,65.0
Manny Machado,Tigers,Home,4,29,4,206,40,Keider Montero,Right,Right,0,0,414.0,107,264.0,68,549.0,139,292.0,70,118,29,143.0,38,22,3,17.0,66.0
Jake Cronenworth,Tigers,Home,5,9,1,206,40,Keider Montero,Right,Left,0,0,414.0,98,274.0,63,563.0,125,292.0,70,118,29,149.0,32,22,3,13.0,62.0
Xander Bogaerts,Tigers,Home,6,36,11,206,40,Keider Montero,Right,Right,0,0,285.0,75,173.0,40,374.0,93,292.0,70,118,29,143.0,38,22,3,11.0,54.0
Jackson Merrill,Tigers,Home,7,3,2,206,40,Keider Montero,Right,Left,0,0,366.0,109,242.0,56,506.0,140,292.0,70,118,29,149.0,32,22,3,16.0,59.0
Kyle Higashioka,Tigers,Home,8,18,3,206,40,Keider Montero,Right,Right,0,0,141.0,32,105.0,24,216.0,47,292.0,70,118,29,143.0,38,22,3,7.0,27.0
Mason McCoy,Tigers,Home,9,3,2,206,40,Keider Montero,Right,Right,0,0,30.0,8,19.0,7,41.0,10,292.0,70,118,29,143.0,38,22,3,10.0,46.0
JP Crawford,Athletics,Away,1,43,7,254,53,JP Sears,Left,Left,15,3,108.0,25,190.0,39,359.0,61,623.0,143,293,73,128.0,27,130,27,,
Julio Rodriguez,Athletics,Away,2,40,10,254,53,JP Sears,Left,Right,16,3,137.0,38,266.0,69,499.0,119,623.0,143,293,73,495.0,116,130,27,10.0,66.0
Cal Raleigh,Athletics,Away,3,24,6,254,53,JP Sears,Left,Both,4,0,139.0,20,266.0,53,520.0,95,623.0,143,293,73,623.0,143,130,27,9.0,57.0
Randy Arozarena,Athletics,Away,4,41,7,254,53,JP Sears,Left,Right,0,0,152.0,30,286.0,50,550.0,101,623.0,143,293,73,495.0,116,130,27,11.0,56.0
Jorge Polanco,Athletics,Away,5,18,2,254,53,JP Sears,Left,Both,0,0,104.0,22,201.0,37,391.0,71,623.0,143,293,73,623.0,143,130,27,6.0,57.0
Justin Turner,Athletics,Away,6,15,3,254,53,JP Sears,Left,Right,2,1,108.0,24,213.0,40,444.0,97,623.0,143,293,73,495.0,116,130,27,10.0,43.0
Luis Urias,Athletics,Away,7,7,1,254,53,JP Sears,Left,Right,1,0,46.0,5,50.0,9,94.0,12,623.0,143,293,73,495.0,116,130,27,,
Mitch Garver,Athletics,Away,8,20,3,254,53,JP Sears,Left,Right,4,1,131.0,23,220.0,34,389.0,54,623.0,143,293,73,495.0,116,130,27,,
Victor Robles,Athletics,Away,9,9,2,254,53,JP Sears,Left,Right,1,0,81.0,18,126.0,29,211.0,52,623.0,143,293,73,495.0,116,130,27,11.0,29.0
Lawrence Butler,Mariners,Home,1,27,8,196,35,George Kirby,Right,Left,3,1,302.0,72,186.0,42,360.0,88,658.0,158,375,93,301.0,76,118,37,22.0,62.0
Brent Rooker,Mariners,Home,2,61,12,196,35,George Kirby,Right,Right,9,3,405.0,106,247.0,62,508.0,133,658.0,158,375,93,357.0,82,118,37,18.0,70.0
JJ Bleday,Mariners,Home,3,46,10,196,35,George Kirby,Right,Left,6,4,452.0,100,280.0,58,549.0,121,658.0,158,375,93,301.0,76,118,37,13.0,57.0
Shea Langeliers,Mariners,Home,4,62,13,196,35,George Kirby,Right,Right,4,2,337.0,71,221.0,37,454.0,93,658.0,158,375,93,357.0,82,118,37,10.0,51.0
Seth Brown,Mariners,Home,5,88,12,196,35,George Kirby,Right,Left,16,3,307.0,68,163.0,37,329.0,73,658.0,158,375,93,301.0,76,118,37,15.0,57.0
Zack Gelof,Mariners,Home,6,33,8,196,35,George Kirby,Right,Right,5,3,353.0,72,222.0,37,450.0,84,658.0,158,375,93,357.0,82,118,37,11.0,53.0
Tristan Gray,Mariners,Home,7,6,0,196,35,George Kirby,Right,Left,0,0,9.0,0,5.0,0,14.0,0,658.0,158,375,93,301.0,76,118,37,,
Max Schuemann,Mariners,Home,8,23,2,196,35,George Kirby,Right,Right,2,0,300.0,63,191.0,37,387.0,77,658.0,158,375,93,357.0,82,118,37,7.0,47.0
Jacob Wilson,Mariners,Home,9,3,0,196,35,George Kirby,Right,Right,0,0,20.0,4,4.0,1,22.0,4,658.0,158,375,93,357.0,82,118,37,,
Corbin Carroll,Giants,Away,1,55,13,214,47,Hayden Birdsong,Right,Left,0,0,396.0,84,299.0,57,570.0,118,212.0,40,83,16,119.0,20,19,5,19.0,61.0
Jake McCarthy,Giants,Away,2,44,9,214,47,Hayden Birdsong,Right,Left,0,0,279.0,72,196.0,47,399.0,107,212.0,40,83,16,119.0,20,19,5,13.0,56.0
Joc Pederson,Giants,Away,3,21,3,214,47,Hayden Birdsong,Right,Left,0,0,349.0,83,207.0,46,387.0,90,212.0,40,83,16,119.0,20,19,5,6.0,45.0
Christian Walker,Giants,Away,4,100,25,214,47,Hayden Birdsong,Right,Right,0,0,330.0,71,240.0,57,460.0,103,212.0,40,83,16,93.0,20,19,5,,
Pavin Smith,Giants,Away,5,28,4,214,47,Hayden Birdsong,Right,Left,0,0,79.0,18,44.0,8,89.0,20,212.0,40,83,16,119.0,20,19,5,,
Adrian Del Castillo,Giants,Away,6,4,1,214,47,Hayden Birdsong,Right,Left,0,0,54.0,12,35.0,9,68.0,18,212.0,40,83,16,119.0,20,19,5,,
Eugenio Suarez,Giants,Away,7,38,7,214,47,Hayden Birdsong,Right,Right,0,0,371.0,83,282.0,55,535.0,116,212.0,40,83,16,93.0,20,19,5,15.0,58.0
Luis Guillorme,Giants,Away,8,17,2,214,47,Hayden Birdsong,Right,Left,0,0,149.0,31,74.0,13,166.0,32,212.0,40,83,16,119.0,20,19,5,5.0,37.0
Geraldo Perdomo,Giants,Away,9,47,9,214,47,Hayden Birdsong,Right,Both,0,0,197.0,47,125.0,33,286.0,73,212.0,40,83,16,212.0,40,19,5,13.0,58.0
Mike Yastrzemski,Diamondbacks,Home,1,111,26,276,79,Zac Gallen,Right,Left,26,7,310.0,67,200.0,50,392.0,86,511.0,116,238,52,253.0,57,123,30,11.0,49.0
Tyler Fitzgerald,Diamondbacks,Home,2,8,1,276,79,Zac Gallen,Right,Right,0,0,164.0,40,129.0,36,263.0,71,511.0,116,238,52,258.0,59,123,30,10.0,54.0
Heliot Ramos,Diamondbacks,Home,3,12,5,276,79,Zac Gallen,Right,Right,0,0,313.0,70,222.0,60,421.0,107,511.0,116,238,52,258.0,59,123,30,11.0,50.0
Michael Conforto,Diamondbacks,Home,4,84,20,276,79,Zac Gallen,Right,Left,20,5,323.0,60,182.0,35,414.0,85,511.0,116,238,52,253.0,57,123,30,5.0,43.0
Matt Chapman,Diamondbacks,Home,5,77,19,276,79,Zac Gallen,Right,Right,7,0,425.0,91,286.0,65,577.0,126,511.0,116,238,52,258.0,59,123,30,11.0,50.0
LaMonte Wade Jr,Diamondbacks,Home,6,97,16,276,79,Zac Gallen,Right,Left,27,6,294.0,61,148.0,30,327.0,70,511.0,116,238,52,253.0,57,123,30,,
Patrick Bailey,Diamondbacks,Home,7,41,12,276,79,Zac Gallen,Right,Both,5,3,294.0,64,192.0,44,376.0,79,511.0,116,238,52,511.0,116,123,30,,
Marco Luciano,Diamondbacks,Home,8,4,1,276,79,Zac Gallen,Right,Right,0,0,33.0,8,29.0,8,52.0,14,511.0,116,238,52,258.0,59,123,30,,
Grant McCray,Diamondbacks,Home,9,2,1,276,79,Zac Gallen,Right,Left,0,0,49.0,11,28.0,4,58.0,13,511.0,116,238,52,253.0,57,123,30,7.0,41.0
