Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Colton Cowser,Jonathan Cannon,Right,Home,5,Left,0,0,349.0,77,244.0,55,477.0,105,410.0,103,187,53,208.0,55,19,3
Eloy Jimenez,Jonathan Cannon,Right,Home,6,Right,0,0,245.0,56,152.0,36,331.0,78,410.0,103,187,53,202.0,48,19,3
Cedric Mullins,Jonathan Cannon,Right,Home,7,Left,0,0,324.0,70,202.0,46,410.0,85,410.0,103,187,53,208.0,55,19,3
Jackson Holliday,Jonathan Cannon,Right,Home,8,Left,0,0,117.0,23,68.0,12,159.0,27,410.0,103,187,53,208.0,55,19,3
Emmanuel Rivera,Jonathan Cannon,Right,Home,9,Right,0,0,131.0,25,116.0,23,246.0,47,410.0,103,187,53,202.0,48,19,3
Jose Altuve,Nick Martinez,Right,Away,1,Right,27,6,451.0,116,301.0,81,594.0,161,445.0,110,262,74,236.0,56,125,31
Yordan Alvarez,Nick Martinez,Right,Away,2,Left,0,0,379.0,93,283.0,87,554.0,151,445.0,110,262,74,209.0,54,125,31
Alex Bregman,Nick Martinez,Right,Away,3,Right,12,4,394.0,101,309.0,80,545.0,131,445.0,110,262,74,236.0,56,125,31
Yainer Diaz,Nick Martinez,Right,Away,4,Right,0,0,377.0,112,260.0,68,514.0,148,445.0,110,262,74,236.0,56,125,31
Jon Singleton,Nick Martinez,Right,Away,5,Left,7,0,278.0,62,172.0,33,353.0,72,445.0,110,262,74,209.0,54,125,31
Jeremy Pena,Nick Martinez,Right,Away,6,Right,0,0,411.0,99,292.0,71,553.0,140,445.0,110,262,74,236.0,56,125,31
Ben Gamel,Nick Martinez,Right,Away,7,Left,4,0,63.0,13,44.0,13,74.0,17,445.0,110,262,74,209.0,54,125,31
Mauricio Dubon,Nick Martinez,Right,Away,8,Right,2,1,249.0,63,185.0,48,357.0,88,445.0,110,262,74,236.0,56,125,31
Jason Heyward,Nick Martinez,Right,Away,9,Left,5,1,189.0,34,99.0,22,204.0,38,445.0,110,262,74,209.0,54,125,31
Jonathan India,Spencer Arrighetti,Right,Home,1,Right,0,0,386.0,81,261.0,62,539.0,116,537.0,114,303,65,238.0,54,18,4
Elly De La Cruz,Spencer Arrighetti,Right,Home,2,Both,0,0,401.0,100,301.0,65,595.0,138,537.0,114,303,65,537.0,114,18,4
Tyler Stephenson,Spencer Arrighetti,Right,Home,3,Right,0,0,306.0,72,229.0,55,429.0,101,537.0,114,303,65,238.0,54,18,4
TJ Friedl,Spencer Arrighetti,Right,Home,4,Left,0,0,188.0,38,132.0,26,253.0,48,537.0,114,303,65,299.0,60,18,4
