Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Tommy Edman,Griffin Canning,Right,Away,8,Both,2,1,37.0,7,20.0,6,54.0,14,612.0,148,338,80,612.0,148,94,23
Miguel Rojas,Griffin Canning,Right,Away,9,Right,1,0,184.0,54,160.0,50,280.0,76,612.0,148,338,80,294.0,70,94,23
Taylor Ward,Bobby Miller,Right,Home,1,Right,0,0,440.0,83,290.0,58,549.0,119,199.0,52,118,37,100.0,28,22,4
Zach Neto,Bobby Miller,Right,Home,2,Right,0,0,410.0,81,246.0,61,510.0,117,199.0,52,118,37,100.0,28,22,4
Nolan Schanuel,Bobby Miller,Right,Home,3,Left,0,0,400.0,87,281.0,57,519.0,111,199.0,52,118,37,99.0,24,22,4
Anthony Rendon,Bobby Miller,Right,Home,4,Right,0,0,192.0,37,87.0,14,223.0,44,199.0,52,118,37,100.0,28,22,4
Mickey Moniak,Bobby Miller,Right,Home,5,Left,0,0,336.0,76,198.0,40,363.0,79,199.0,52,118,37,99.0,24,22,4
Logan O'Hoppe,Bobby Miller,Right,Home,6,Right,0,0,355.0,87,237.0,57,453.0,101,199.0,52,118,37,100.0,28,22,4
Brandon Drury,Bobby Miller,Right,Home,7,Right,0,0,227.0,31,133.0,18,291.0,42,199.0,52,118,37,100.0,28,22,4
Jo Adell,Bobby Miller,Right,Home,8,Right,0,0,335.0,59,216.0,39,438.0,83,199.0,52,118,37,100.0,28,22,4
Niko Kavadas,Bobby Miller,Right,Home,9,Left,0,0,37.0,3,14.0,0,41.0,3,199.0,52,118,37,99.0,24,22,4
Parker Meadows,Yu Darvish,Right,Away,1,Left,0,0,169.0,34,114.0,23,196.0,40,224.0,45,164,36,105.0,23,25,9
Riley Greene,Yu Darvish,Right,Away,2,Left,0,0,368.0,86,257.0,58,482.0,109,224.0,45,164,36,105.0,23,25,9
Matt Vierling,Yu Darvish,Right,Away,3,Right,0,0,364.0,86,232.0,57,480.0,117,224.0,45,164,36,119.0,22,25,9
Kerry Carpenter,Yu Darvish,Right,Away,4,Left,0,0,200.0,56,105.0,28,225.0,58,224.0,45,164,36,105.0,23,25,9
Colt Keith,Yu Darvish,Right,Away,5,Left,0,0,409.0,94,258.0,66,476.0,114,224.0,45,164,36,105.0,23,25,9
Spencer Torkelson,Yu Darvish,Right,Away,6,Right,0,0,230.0,44,152.0,31,292.0,59,224.0,45,164,36,119.0,22,25,9
Jace Jung,Yu Darvish,Right,Away,7,Left,0,0,48.0,7,33.0,6,59.0,10,224.0,45,164,36,105.0,23,25,9
Trey Sweeney,Yu Darvish,Right,Away,8,Left,0,0,39.0,7,19.0,5,43.0,8,224.0,45,164,36,105.0,23,25,9
Dillon Dingler,Yu Darvish,Right,Away,9,Right,0,0,50.0,8,35.0,6,60.0,8,224.0,45,164,36,119.0,22,25,9
Fernando Tatis Jr,Keider Montero,Right,Home,1,Right,0,0,237.0,65,174.0,36,348.0,86,292.0,70,118,29,143.0,38,22,3
Luis Arraez,Keider Montero,Right,Home,2,Left,0,0,386.0,123,291.0,71,580.0,171,292.0,70,118,29,149.0,32,22,3
Jurickson Profar,Keider Montero,Right,Home,3,Both,0,0,406.0,91,263.0,67,569.0,136,292.0,70,118,29,292.0,70,22,3
Manny Machado,Keider Montero,Right,Home,4,Right,0,0,414.0,107,264.0,68,549.0,139,292.0,70,118,29,143.0,38,22,3
Jake Cronenworth,Keider Montero,Right,Home,5,Left,0,0,414.0,98,274.0,63,563.0,125,292.0,70,118,29,149.0,32,22,3
Xander Bogaerts,Keider Montero,Right,Home,6,Right,0,0,285.0,75,173.0,40,374.0,93,292.0,70,118,29,143.0,38,22,3
Jackson Merrill,Keider Montero,Right,Home,7,Left,0,0,366.0,109,242.0,56,506.0,140,292.0,70,118,29,149.0,32,22,3
Kyle Higashioka,Keider Montero,Right,Home,8,Right,0,0,141.0,32,105.0,24,216.0,47,292.0,70,118,29,143.0,38,22,3
Mason McCoy,Keider Montero,Right,Home,9,Right,0,0,30.0,8,19.0,7,41.0,10,292.0,70,118,29,143.0,38,22,3
JP Crawford,JP Sears,Left,Away,1,Left,15,3,108.0,25,190.0,39,359.0,61,623.0,143,293,73,128.0,27,130,27
Julio Rodriguez,JP Sears,Left,Away,2,Right,16,3,137.0,38,266.0,69,499.0,119,623.0,143,293,73,495.0,116,130,27
Cal Raleigh,JP Sears,Left,Away,3,Both,4,0,139.0,20,266.0,53,520.0,95,623.0,143,293,73,623.0,143,130,27
Randy Arozarena,JP Sears,Left,Away,4,Right,0,0,152.0,30,286.0,50,550.0,101,623.0,143,293,73,495.0,116,130,27
Jorge Polanco,JP Sears,Left,Away,5,Both,0,0,104.0,22,201.0,37,391.0,71,623.0,143,293,73,623.0,143,130,27
Justin Turner,JP Sears,Left,Away,6,Right,2,1,108.0,24,213.0,40,444.0,97,623.0,143,293,73,495.0,116,130,27
Luis Urias,JP Sears,Left,Away,7,Right,1,0,46.0,5,50.0,9,94.0,12,623.0,143,293,73,495.0,116,130,27
Mitch Garver,JP Sears,Left,Away,8,Right,4,1,131.0,23,220.0,34,389.0,54,623.0,143,293,73,495.0,116,130,27
Victor Robles,JP Sears,Left,Away,9,Right,1,0,81.0,18,126.0,29,211.0,52,623.0,143,293,73,495.0,116,130,27
Lawrence Butler,George Kirby,Right,Home,1,Left,3,1,302.0,72,186.0,42,360.0,88,658.0,158,375,93,301.0,76,118,37
Brent Rooker,George Kirby,Right,Home,2,Right,9,3,405.0,106,247.0,62,508.0,133,658.0,158,375,93,357.0,82,118,37
JJ Bleday,George Kirby,Right,Home,3,Left,6,4,452.0,100,280.0,58,549.0,121,658.0,158,375,93,301.0,76,118,37
Shea Langeliers,George Kirby,Right,Home,4,Right,4,2,337.0,71,221.0,37,454.0,93,658.0,158,375,93,357.0,82,118,37
Seth Brown,George Kirby,Right,Home,5,Left,16,3,307.0,68,163.0,37,329.0,73,658.0,158,375,93,301.0,76,118,37
Zack Gelof,George Kirby,Right,Home,6,Right,5,3,353.0,72,222.0,37,450.0,84,658.0,158,375,93,357.0,82,118,37
Tristan Gray,George Kirby,Right,Home,7,Left,0,0,9.0,0,5.0,0,14.0,0,658.0,158,375,93,301.0,76,118,37
Max Schuemann,George Kirby,Right,Home,8,Right,2,0,300.0,63,191.0,37,387.0,77,658.0,158,375,93,357.0,82,118,37
Jacob Wilson,George Kirby,Right,Home,9,Right,0,0,20.0,4,4.0,1,22.0,4,658.0,158,375,93,357.0,82,118,37
Corbin Carroll,Hayden Birdsong,Right,Away,1,Left,0,0,396.0,84,299.0,57,570.0,118,212.0,40,83,16,119.0,20,19,5
Jake McCarthy,Hayden Birdsong,Right,Away,2,Left,0,0,279.0,72,196.0,47,399.0,107,212.0,40,83,16,119.0,20,19,5
Joc Pederson,Hayden Birdsong,Right,Away,3,Left,0,0,349.0,83,207.0,46,387.0,90,212.0,40,83,16,119.0,20,19,5
Christian Walker,Hayden Birdsong,Right,Away,4,Right,0,0,330.0,71,240.0,57,460.0,103,212.0,40,83,16,93.0,20,19,5
Pavin Smith,Hayden Birdsong,Right,Away,5,Left,0,0,79.0,18,44.0,8,89.0,20,212.0,40,83,16,119.0,20,19,5
Adrian Del Castillo,Hayden Birdsong,Right,Away,6,Left,0,0,54.0,12,35.0,9,68.0,18,212.0,40,83,16,119.0,20,19,5
Eugenio Suarez,Hayden Birdsong,Right,Away,7,Right,0,0,371.0,83,282.0,55,535.0,116,212.0,40,83,16,93.0,20,19,5
Luis Guillorme,Hayden Birdsong,Right,Away,8,Left,0,0,149.0,31,74.0,13,166.0,32,212.0,40,83,16,119.0,20,19,5
Geraldo Perdomo,Hayden Birdsong,Right,Away,9,Both,0,0,197.0,47,125.0,33,286.0,73,212.0,40,83,16,212.0,40,19,5
Mike Yastrzemski,Zac Gallen,Right,Home,1,Left,26,7,310.0,67,200.0,50,392.0,86,511.0,116,238,52,253.0,57,123,30
Tyler Fitzgerald,Zac Gallen,Right,Home,2,Right,0,0,164.0,40,129.0,36,263.0,71,511.0,116,238,52,258.0,59,123,30
Heliot Ramos,Zac Gallen,Right,Home,3,Right,0,0,313.0,70,222.0,60,421.0,107,511.0,116,238,52,258.0,59,123,30
Michael Conforto,Zac Gallen,Right,Home,4,Left,20,5,323.0,60,182.0,35,414.0,85,511.0,116,238,52,253.0,57,123,30
Matt Chapman,Zac Gallen,Right,Home,5,Right,7,0,425.0,91,286.0,65,577.0,126,511.0,116,238,52,258.0,59,123,30
LaMonte Wade Jr,Zac Gallen,Right,Home,6,Left,27,6,294.0,61,148.0,30,327.0,70,511.0,116,238,52,253.0,57,123,30
Patrick Bailey,Zac Gallen,Right,Home,7,Both,5,3,294.0,64,192.0,44,376.0,79,511.0,116,238,52,511.0,116,123,30
Marco Luciano,Zac Gallen,Right,Home,8,Right,0,0,33.0,8,29.0,8,52.0,14,511.0,116,238,52,258.0,59,123,30
Grant McCray,Zac Gallen,Right,Home,9,Left,0,0,49.0,11,28.0,4,58.0,13,511.0,116,238,52,253.0,57,123,30
