Player Name,B Recent H,B Recent PA
Kyle Manzardo,5.0,12.0
Isaac Paredes,10.0,67.0
James McCann,4.0,19.0
Joey Gallo,6.0,39.0
Jackson Holliday,8.0,55.0
Ryan O'Hearn,8.0,44.0
Brice Turang,12.0,63.0
Joc Pederson,6.0,45.0
Luis Guillorme,5.0,37.0
Leody Taveras,7.0,39.0
Will Smith,8.0,42.0
Alex Verdugo,13.0,59.0
Austin Barnes,5.0,8.0
Grant McCray,7.0,41.0
Luis Robert Jr,10.0,51.0
Joey Loperfido,10.0,46.0
Christopher Morel,12.0,60.0
Dairon Blanco,4.0,18.0
Ryan McMahon,13.0,55.0
Jason Heyward,3.0,12.0
Jake Bauers,3.0,33.0
Jordan Beck,6.0,44.0
Jon Singleton,4.0,32.0
Cal Raleigh,9.0,57.0
Emmanuel Rivera,4.0,24.0
Ryan Jeffers,8.0,34.0
Austin Martin,9.0,38.0
Nathaniel Lowe,11.0,49.0
Vidal Brujan,8.0,31.0
Jake Rogers,5.0,30.0
Griffin Conine,6.0,23.0
David Hamilton,3.0,29.0
Steven Kwan,9.0,80.0
Wilyer Abreu,10.0,44.0
CJ Abrams,8.0,49.0
David Fry,7.0,42.0
Jeff McNeil,9.0,45.0
Michael Busch,9.0,61.0
Keibert Ruiz,8.0,45.0
Manuel Margot,8.0,22.0
Anthony Rendon,8.0,55.0
Drew Romo,7.0,36.0
Alex Bregman,9.0,38.0
Whit Merrifield,14.0,68.0
Mike Tauchman,4.0,20.0
Gio Urshela,13.0,46.0
Pedro Pages,5.0,21.0
Michael Conforto,5.0,43.0
Leo Rivas,8.0,31.0
Trey Sweeney,7.0,35.0
Carlos Santana,9.0,50.0
Corey Julks,7.0,30.0
Nathan Lukes,5.0,17.0
Jorge Polanco,6.0,57.0
Edouard Julien,10.0,39.0
Andy Ibanez,3.0,23.0
Edmundo Sosa,4.0,25.0
Charlie Blackmon,7.0,46.0
Jake Meyers,9.0,49.0
Kevin Newman,7.0,22.0
Tyler Fitzgerald,10.0,54.0
Ali Sanchez,4.0,15.0
Eloy Jimenez,9.0,45.0
Ivan Herrera,6.0,26.0
Mauricio Dubon,12.0,41.0
Cristian Pache,4.0,19.0
Willson Contreras,5.0,21.0
Garrett Stubbs,4.0,7.0
Gary Sanchez,3.0,36.0
Brandon Nimmo,11.0,57.0
Adam Duvall,3.0,5.0
TJ Friedl,7.0,59.0
Michael Toglia,9.0,66.0
Jake Fraley,2.0,13.0
Travis d'Arnaud,5.0,26.0
Chris Taylor,5.0,25.0
Daz Cameron,7.0,36.0
Harrison Bader,2.0,27.0
Patrick Wisdom,1.0,10.0
Max Schuemann,7.0,47.0
Anthony Rizzo,3.0,9.0
DJ LeMahieu,6.0,21.0
Thairo Estrada,7.0,31.0
Josh Smith,9.0,39.0
Masataka Yoshida,12.0,53.0
Sam Hilliard,3.0,14.0
Travis Jankowski,2.0,13.0
Andruw Monasterio,4.0,19.0
Luke Williams,3.0,10.0
Andrew Vaughn,8.0,54.0
Will Brennan,7.0,31.0
Brandon Drury,5.0,35.0
Donovan Solano,4.0,29.0
Jose Iglesias,6.0,34.0
Jacob Stallings,4.0,23.0
Jerar Encarnacion,5.0,21.0
Xavier Edwards,4.0,15.0
Joey Bart,3.0,20.0
Chas McCormick,2.0,15.0
Jonah Heim,5.0,32.0
Alec Bohm,7.0,36.0
Nasim Nunez,2.0,7.0
Nolan Schanuel,8.0,48.0
Zach Dezenzo,5.0,19.0
Ildemaro Vargas,5.0,11.0
Brandon Lowe,10.0,54.0
Michael Massey,8.0,44.0
Nick Fortes,6.0,29.0
Gavin Sheets,14.0,54.0
