Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Luis Garcia Jr,Valente Bellozo,Marlins,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Joey Gallo,Valente Bellozo,Marlins,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
CJ Abrams,Valente Bellozo,Marlins,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Keibert Ruiz,Valente Bellozo,Marlins,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Young,Valente Bellozo,Marlins,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Edwards,MacKenzie Gore,Nationals,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Connor Norby,MacKenzie Gore,Nationals,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Jake Burger,MacKenzie Gore,Nationals,Home,3,2,1,1,0,0,0,1,0,.500,.667,1.000,1.667
Jonah Bride,MacKenzie Gore,Nationals,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Otto Lopez,MacKenzie Gore,Nationals,Home,5,3,0,0,0,0,0,0,0,.000,.000,.000,.000
Cristian Pache,MacKenzie Gore,Nationals,Home,6,6,1,1,0,0,1,0,2,.167,.167,.333,.500
David Hensley,MacKenzie Gore,Nationals,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Stowers,MacKenzie Gore,Nationals,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Nick Fortes,MacKenzie Gore,Nationals,Home,9,3,1,0,0,0,1,0,1,.333,.333,.333,.667
Jarren Duran,Tylor Megill,Mets,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Wilyer Abreu,Tylor Megill,Mets,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Tyler O'Neill,Tylor Megill,Mets,Away,3,2,1,1,0,0,2,0,1,.500,.500,1.000,1.500
Rafael Devers,Tylor Megill,Mets,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Triston Casas,Tylor Megill,Mets,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Masataka Yoshida,Tylor Megill,Mets,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Connor Wong,Tylor Megill,Mets,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Enmanuel Valdez,Tylor Megill,Mets,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Ceddanne Rafaela,Tylor Megill,Mets,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Lindor,Tanner Houck,Red Sox,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Nimmo,Tanner Houck,Red Sox,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Mark Vientos,Tanner Houck,Red Sox,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Pete Alonso,Tanner Houck,Red Sox,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Winker,Tanner Houck,Red Sox,Home,5,4,1,0,0,0,0,0,0,.250,.250,.250,.500
Starling Marte,Tanner Houck,Red Sox,Home,6,2,0,0,0,0,0,0,0,.000,.000,.000,.000
Jose Iglesias,Tanner Houck,Red Sox,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Jeff McNeil,Tanner Houck,Red Sox,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
