Batter Name,1 H,2 H,3 H
Jazz Chisholm Jr,−150,+360,
Jonah Heim,−175,+340,
Josh Jung,−230,+240,+1100
Josh Smith,−215,+250,+1000
Juan Soto,−210,+255,+1100
Leody Taveras,−185,+320,
Marcus Semien,−255,+220,+1000
Nathaniel Lowe,−185,+320,
Wyatt Langford,−195,+295,
Anthony Rendon,−230,+245,+1000
Brandon Drury,−175,+340,
Freddie Freeman,−295,+170,+650
Gavin Lux,−240,+195,+750
Jo Adell,−150,+400,
Kevin Kiermaier,−145,+400,
Logan O'Hoppe,−210,+265,
Matt Thaiss,−110,+550,
Max Muncy,−190,+275,+1100
Mickey Moniak,−165,+360,
Mookie Betts,−340,+160,+600
Nolan Schanuel,−195,+275,+1200
Shohei Ohtani,−400,+135,+500
Taylor Ward,−250,+225,+1000
Teoscar Hernandez,−285,+180,+700
Tommy Edman,−210,+240,+950
Will Smith,−265,+210,+900
Zach Neto,−195,+290,
Fernando Tatis Jr.,−290,+175,+650
Jace Jung,−145,+400,
Jackson Merrill,−265,+190,+750
Jake Cronenworth,−215,+230,+950
Jake Rogers,−125,+475,
Jurickson Profar,−210,+275,+1200
Kerry Carpenter,−150,+390,
Kyle Higashioka,−150,+400,
Luis Arraez,−350,+145,+500
Manny Machado,−295,+175,+700
Mason McCoy,−140,+425,
Matt Vierling,−240,+200,+750
Parker Meadows,−175,+320,
Riley Greene,−205,+265,+1200
Spencer Torkelson,−165,+350,
Trey Sweeney,−125,+475,
Xander Bogaerts,−225,+220,+850
Zach McKinstry,−140,+425,
Brent Rooker,−210,+265,+1100
Cal Raleigh,−190,+285,
J.P. Crawford,−195,+290,
Jacob Wilson,−150,+390,
JJ Bleday,−185,+310,
Jorge Polanco,−175,+320,
Julio Rodriguez,−265,+190,+700
Justin Turner,−190,+295,
Lawrence Butler,−225,+255,+1000
Luis Urias,−105,+600,
Max Schuemann,−145,+425,
Mitch Garver,−130,+450,
Randy Arozarena,−210,+280,+1200
Seth Brown,−170,+350,
Shea Langeliers,−185,+310,
Tristan Gray,−115,+550,
Victor Robles,−170,+330,
Zack Gelof,−150,+390,
Christian Walker,−205,+290,
Corbin Carroll,−220,+225,+900
Eugenio Suarez,−195,+280,+1300
Geraldo Perdomo,−155,+350,
Grant McCray,−120,+500,
Jake McCarthy,−265,+180,+650
Jerar Encarnacion,−175,+330,
Joc Pederson,−190,+280,
Jose Herrera,+115,+650,
LaMonte Wade Jr,−150,+380,
Luis Guillorme,−170,+310,
Marco Luciano,−130,+450,
Matt Chapman,−240,+250,+1100
Michael Conforto,−175,+320,
Mike Yastrzemski,−190,+295,
Patrick Bailey,−170,+330,
Randal Grichuk,−140,+400,
Tyler Fitzgerald,−210,+250,+1100
