Batter,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Tommy Edman,Angels,Away,8,26,7,1,0,1,4,4,3,.269,.367,.423,.790
Miguel Rojas,Angels,Away,9,28,6,2,0,0,5,2,6,.214,.267,.286,.552
Taylor Ward,Dodgers,Home,1,19,5,0,0,1,3,1,5,.263,.300,.421,.721
Zach Neto,Dodgers,Home,2,10,3,1,0,0,0,1,3,.300,.364,.400,.764
Nolan Schanuel,Dodgers,Home,3,8,2,0,0,0,1,0,3,.250,.250,.250,.500
Anthony Rendon,Dodgers,Home,4,27,10,6,0,0,5,5,3,.370,.469,.593,1.061
Mickey Moniak,Dodgers,Home,5,19,2,1,0,0,0,0,8,.105,.105,.158,.263
Logan O'Hoppe,Dodgers,Home,6,6,2,0,0,1,1,1,2,.333,.429,.833,1.262
Brandon Drury,Dodgers,Home,7,34,7,1,0,2,7,1,6,.206,.229,.412,.640
Jo Adell,Dodgers,Home,8,14,2,1,0,1,2,0,3,.143,.143,.429,.571
Niko Kavadas,Dodgers,Home,9,4,0,0,0,0,0,0,2,.000,.000,.000,.000
Parker Meadows,Padres,Away,1,4,1,0,0,0,1,0,1,.250,.250,.250,.500
Riley Greene,Padres,Away,2,25,4,1,0,0,0,6,11,.160,.323,.200,.523
Matt Vierling,Padres,Away,3,29,6,0,0,0,0,2,10,.207,.258,.207,.465
Kerry Carpenter,Padres,Away,4,12,4,0,0,1,3,2,2,.333,.429,.583,1.012
Colt Keith,Padres,Away,5,7,1,0,0,0,0,0,2,.143,.143,.143,.286
Spencer Torkelson,Padres,Away,6,29,6,1,0,1,4,6,9,.207,.343,.345,.688
Jace Jung,Padres,Away,7,4,0,0,0,0,0,0,1,.000,.000,.000,.000
Trey Sweeney,Padres,Away,8,3,1,0,0,0,0,0,0,.333,.333,.333,.667
Dillon Dingler,Padres,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Tatis Jr,Tigers,Home,1,11,0,0,0,0,0,0,3,.000,.000,.000,.000
Luis Arraez,Tigers,Home,2,44,9,1,0,0,2,1,4,.205,.222,.227,.449
Jurickson Profar,Tigers,Home,3,10,2,0,0,0,1,0,1,.200,.200,.200,.400
Manny Machado,Tigers,Home,4,25,4,1,0,1,4,4,4,.160,.276,.320,.596
Jake Cronenworth,Tigers,Home,5,8,1,0,0,0,0,1,1,.125,.222,.125,.347
Xander Bogaerts,Tigers,Home,6,33,11,4,0,0,3,3,5,.333,.389,.455,.843
Jackson Merrill,Tigers,Home,7,3,2,0,0,0,0,0,0,.667,.667,.667,1.333
Kyle Higashioka,Tigers,Home,8,17,3,1,0,1,1,1,6,.176,.222,.412,.634
Mason McCoy,Tigers,Home,9,3,2,0,0,0,0,0,0,.667,.667,.667,1.333
JP Crawford,Athletics,Away,1,38,7,3,0,0,2,5,3,.184,.279,.263,.542
Julio Rodriguez,Athletics,Away,2,38,10,2,0,2,3,2,9,.263,.293,.474,.766
Cal Raleigh,Athletics,Away,3,20,6,2,0,3,6,4,3,.300,.417,.850,1.267
Randy Arozarena,Athletics,Away,4,38,7,5,0,0,6,3,12,.184,.244,.316,.560
Jorge Polanco,Athletics,Away,5,16,2,1,0,0,1,2,5,.125,.222,.188,.410
