Batter,Batter Spot,Batter Pitcher xH,Batter Team xH,Batter xH
Freddy Fermin,7,0.62,0.35,0.98
Maikel Garcia,8,0.56,0.27,0.83
Kyle Isbel,9,0.51,0.28,0.79
Isiah Kiner-Falefa,1,0.57,0.36,0.93
Bryan Reynolds,2,0.62,0.4,1.02
Nick Gonzales,3,0.66,0.42,1.08
Andrew McCutchen,4,0.5,0.32,0.83
Oneil Cruz,5,0.58,0.36,0.94
Connor Joe,6,0.48,0.33,0.82
Bryan De La Cruz,7,0.52,0.32,0.84
Jared Triolo,8,0.45,0.3,0.76
Henry Davis,9,0.42,0.25,0.67
Ian Happ,1,nan,nan,nan
Michael Busch,2,nan,nan,nan
Seiya Suzuki,3,nan,nan,nan
Cody Bellinger,4,nan,nan,nan
Isaac Paredes,5,nan,nan,nan
Nico Hoerner,6,nan,nan,nan
Dansby Swanson,7,nan,nan,nan
Pete Crow-Armstrong,8,nan,nan,nan
Miguel Amaya,9,nan,nan,nan
Gleyber Torres,1,0.63,0.39,1.03
Juan Soto,2,0.65,0.32,0.97
Aaron Judge,3,0.72,0.37,1.09
Austin Wells,4,0.62,0.34,0.95
Giancarlo Stanton,5,0.6,0.34,0.95
Jazz Chisholm Jr,6,0.67,0.38,1.05
Anthony Rizzo,7,0.65,0.34,0.99
Anthony Volpe,8,0.56,0.32,0.87
Alex Verdugo,9,0.51,0.32,0.83
Marcus Semien,1,0.69,0.38,1.07
Corey Seager,2,0.74,0.43,1.17
Josh Smith,3,0.66,0.37,1.03
Adolis Garcia,4,0.56,0.34,0.9
Nathaniel Lowe,5,0.6,0.34,0.95
Josh Jung,6,0.64,0.39,1.03
Wyatt Langford,7,0.6,0.34,0.94
Jonah Heim,8,0.53,0.29,0.82
Leody Taveras,9,0.51,0.29,0.8
Shohei Ohtani,1,0.67,0.47,1.14
Mookie Betts,2,0.65,0.45,1.1
Freddie Freeman,3,0.64,0.43,1.07
Teoscar Hernandez,4,0.65,0.42,1.07
Gavin Lux,5,0.56,0.38,0.94
Will Smith,6,0.55,0.37,0.91
Max Muncy,7,0.48,0.32,0.81
Tommy Edman,8,0.54,0.4,0.94
Miguel Rojas,9,0.58,0.4,0.99
Taylor Ward,1,0.64,0.46,1.1
Zach Neto,2,0.58,0.43,1.0
Nolan Schanuel,3,0.53,0.4,0.93
Anthony Rendon,4,0.52,0.39,0.91
Mickey Moniak,5,0.58,0.4,0.98
Logan O'Hoppe,6,0.57,0.4,0.97
Brandon Drury,7,0.44,0.32,0.76
Jo Adell,8,0.49,0.35,0.84
Niko Kavadas,9,0.3,0.19,0.5
Parker Meadows,1,nan,nan,nan
Riley Greene,2,nan,nan,nan
Matt Vierling,3,nan,nan,nan
Kerry Carpenter,4,nan,nan,nan
Colt Keith,5,nan,nan,nan
Spencer Torkelson,6,nan,nan,nan
Jace Jung,7,nan,nan,nan
Trey Sweeney,8,nan,nan,nan
Dillon Dingler,9,nan,nan,nan
Fernando Tatis Jr,1,nan,nan,nan
Luis Arraez,2,nan,nan,nan
Jurickson Profar,3,nan,nan,nan
Manny Machado,4,nan,nan,nan
Jake Cronenworth,5,nan,nan,nan
Xander Bogaerts,6,nan,nan,nan
Jackson Merrill,7,nan,nan,nan
Kyle Higashioka,8,nan,nan,nan
Mason McCoy,9,nan,nan,nan
JP Crawford,1,0.63,0.33,0.96
Julio Rodriguez,2,0.65,0.35,1.0
Cal Raleigh,3,0.55,0.31,0.86
Randy Arozarena,4,0.59,0.31,0.89
Jorge Polanco,5,0.52,0.27,0.79
Justin Turner,6,0.62,0.32,0.94
Luis Urias,7,0.47,0.27,0.74
Mitch Garver,8,0.51,0.25,0.75
Victor Robles,9,0.63,0.35,0.98
Lawrence Butler,1,0.84,0.41,1.25
Brent Rooker,2,0.8,0.35,1.15
JJ Bleday,3,0.75,0.33,1.07
Shea Langeliers,4,0.67,0.29,0.96
Seth Brown,5,0.69,0.3,0.99
Zack Gelof,6,0.64,0.29,0.93
Tristan Gray,7,0.36,0.14,0.5
Max Schuemann,8,0.56,0.25,0.8
Jacob Wilson,9,0.59,0.28,0.86
Corbin Carroll,1,nan,nan,nan
Jake McCarthy,2,nan,nan,nan
Joc Pederson,3,nan,nan,nan
Christian Walker,4,nan,nan,nan
Pavin Smith,5,nan,nan,nan
Adrian Del Castillo,6,nan,nan,nan
Eugenio Suarez,7,nan,nan,nan
Luis Guillorme,8,nan,nan,nan
Geraldo Perdomo,9,nan,nan,nan
Mike Yastrzemski,1,0.69,0.39,1.09
Tyler Fitzgerald,2,0.68,0.4,1.08
Heliot Ramos,3,0.66,0.41,1.07
Michael Conforto,4,0.56,0.34,0.9
Matt Chapman,5,0.6,0.36,0.96
LaMonte Wade Jr,6,0.59,0.31,0.89
Patrick Bailey,7,0.62,0.35,0.98
Marco Luciano,8,0.63,0.37,1.0
Grant McCray,9,0.51,0.29,0.8
