Batter,Batter Spot,Batter Pitcher Matchup H/PA,P Pitching Outs,Batter Team Matchup H/PA,T Pitching Outs
Willy Adames,5,0.24,5.83,0.22,3.17
Garrett Mitchell,6,0.24,5.83,0.23,3.17
Rhys Hoskins,7,0.2,5.83,0.18,3.17
Sal Frelick,8,0.25,5.83,0.24,3.17
Joey Ortiz,9,0.22,5.83,0.21,3.17
Steven Kwan,1,0.23,6.17,0.23,2.83
Andres Gimenez,2,0.22,6.17,0.24,2.83
Jose Ramirez,3,0.22,6.17,0.24,2.83
Josh Naylor,4,0.23,6.17,0.23,2.83
Jhonkensy Noel,5,0.23,6.17,0.23,2.83
Kyle Manzardo,6,0.27,6.17,0.27,2.83
Lane Thomas,7,0.23,6.17,0.24,2.83
Bo Naylor,8,0.24,6.17,0.24,2.83
Brayan Rocchio,9,0.22,6.17,0.22,2.83
Tommy Pham,1,0.23,5.83,0.22,3.17
Bobby Witt Jr,2,0.25,5.83,0.24,3.17
Michael Massey,3,0.2,5.83,0.2,3.17
Salvador Perez,4,0.22,5.83,0.23,3.17
Paul DeJong,5,0.21,5.83,0.19,3.17
MJ Melendez,6,0.21,5.83,0.2,3.17
Freddy Fermin,7,0.24,5.83,0.25,3.17
Maikel Garcia,8,0.22,5.83,0.2,3.17
Kyle Isbel,9,0.21,5.83,0.21,3.17
Isiah Kiner-Falefa,1,0.19,5.83,0.22,3.17
Bryan Reynolds,2,0.21,5.83,0.25,3.17
Nick Gonzales,3,0.23,5.83,0.27,3.17
Andrew McCutchen,4,0.18,5.83,0.21,3.17
Oneil Cruz,5,0.21,5.83,0.24,3.17
Connor Joe,6,0.18,5.83,0.23,3.17
Bryan De La Cruz,7,0.2,5.83,0.23,3.17
Jared Triolo,8,0.18,5.83,0.22,3.17
Henry Davis,9,0.17,5.83,0.19,3.17
Ian Happ,1,0.17,,0.24,
Michael Busch,2,0.14,,0.19,
Seiya Suzuki,3,0.2,,0.24,
Cody Bellinger,4,0.15,,0.22,
Isaac Paredes,5,0.14,,0.19,
Nico Hoerner,6,0.17,,0.23,
Dansby Swanson,7,0.17,,0.24,
Pete Crow-Armstrong,8,0.17,,0.24,
Miguel Amaya,9,0.22,,0.26,
Gleyber Torres,1,0.21,5.83,0.24,3.17
Juan Soto,2,0.22,5.83,0.2,3.17
Aaron Judge,3,0.25,5.83,0.24,3.17
Austin Wells,4,0.22,5.83,0.22,3.17
Giancarlo Stanton,5,0.22,5.83,0.23,3.17
Jazz Chisholm Jr,6,0.25,5.83,0.26,3.17
Anthony Rizzo,7,0.25,5.83,0.24,3.17
Anthony Volpe,8,0.22,5.83,0.23,3.17
Alex Verdugo,9,0.21,5.83,0.24,3.17
Marcus Semien,1,0.23,5.83,0.23,3.17
Corey Seager,2,0.25,5.83,0.27,3.17
Josh Smith,3,0.23,5.83,0.24,3.17
Adolis Garcia,4,0.2,5.83,0.22,3.17
Nathaniel Lowe,5,0.22,5.83,0.23,3.17
Josh Jung,6,0.24,5.83,0.27,3.17
Wyatt Langford,7,0.23,5.83,0.24,3.17
Jonah Heim,8,0.21,5.83,0.21,3.17
Leody Taveras,9,0.21,5.83,0.22,3.17
Shohei Ohtani,1,0.25,5.17,0.24,3.83
Mookie Betts,2,0.25,5.17,0.23,3.83
Freddie Freeman,3,0.25,5.17,0.23,3.83
Teoscar Hernandez,4,0.26,5.17,0.23,3.83
Gavin Lux,5,0.23,5.17,0.21,3.83
Will Smith,6,0.23,5.17,0.21,3.83
Max Muncy,7,0.21,5.17,0.19,3.83
Tommy Edman,8,0.24,5.17,0.24,3.83
Miguel Rojas,9,0.27,5.17,0.25,3.83
Taylor Ward,1,0.24,5.17,0.23,3.83
Zach Neto,2,0.22,5.17,0.22,3.83
Nolan Schanuel,3,0.21,5.17,0.21,3.83
Anthony Rendon,4,0.21,5.17,0.21,3.83
Mickey Moniak,5,0.24,5.17,0.22,3.83
Logan O'Hoppe,6,0.24,5.17,0.23,3.83
Brandon Drury,7,0.19,5.17,0.19,3.83
Jo Adell,8,0.22,5.17,0.21,3.83
Niko Kavadas,9,0.14,5.17,0.12,3.83
Parker Meadows,1,0.24,,0.22,
Riley Greene,2,0.25,,0.21,
Matt Vierling,3,0.26,,0.24,
Kerry Carpenter,4,0.26,,0.24,
Colt Keith,5,0.26,,0.23,
Spencer Torkelson,6,0.24,,0.22,
Jace Jung,7,0.22,,0.2,
Trey Sweeney,8,0.24,,0.23,
Dillon Dingler,9,0.21,,0.19,
Fernando Tatis Jr,1,0.23,,0.21,
Luis Arraez,2,0.25,,0.24,
Jurickson Profar,3,0.19,,0.2,
Manny Machado,4,0.23,,0.23,
Jake Cronenworth,5,0.21,,0.21,
Xander Bogaerts,6,0.22,,0.23,
Jackson Merrill,7,0.23,,0.23,
Kyle Higashioka,8,0.23,,0.22,
Mason McCoy,9,0.24,,0.25,
JP Crawford,1,0.21,5.83,0.2,3.17
Julio Rodriguez,2,0.22,5.83,0.22,3.17
Cal Raleigh,3,0.19,5.83,0.2,3.17
Randy Arozarena,4,0.21,5.83,0.2,3.17
Jorge Polanco,5,0.19,5.83,0.18,3.17
Justin Turner,6,0.23,5.83,0.22,3.17
Luis Urias,7,0.18,5.83,0.19,3.17
Mitch Garver,8,0.2,5.83,0.18,3.17
Victor Robles,9,0.26,5.83,0.26,3.17
Lawrence Butler,1,0.28,5.83,0.25,3.17
Brent Rooker,2,0.27,5.83,0.22,3.17
JJ Bleday,3,0.26,5.83,0.21,3.17
Shea Langeliers,4,0.24,5.83,0.19,3.17
Seth Brown,5,0.25,5.83,0.2,3.17
Zack Gelof,6,0.24,5.83,0.2,3.17
Tristan Gray,7,0.14,5.83,0.1,3.17
Max Schuemann,8,0.22,5.83,0.18,3.17
Jacob Wilson,9,0.24,5.83,0.21,3.17
Corbin Carroll,1,0.23,,0.23,
Jake McCarthy,2,0.23,,0.23,
Joc Pederson,3,0.2,,0.2,
Christian Walker,4,0.23,,0.23,
Pavin Smith,5,0.21,,0.2,
Adrian Del Castillo,6,0.23,,0.24,
Eugenio Suarez,7,0.23,,0.22,
Luis Guillorme,8,0.19,,0.19,
Geraldo Perdomo,9,0.23,,0.23,
Mike Yastrzemski,1,0.23,5.83,0.24,3.17
Tyler Fitzgerald,2,0.23,5.83,0.25,3.17
Heliot Ramos,3,0.23,5.83,0.26,3.17
Michael Conforto,4,0.2,5.83,0.22,3.17
Matt Chapman,5,0.22,5.83,0.24,3.17
LaMonte Wade Jr,6,0.22,5.83,0.21,3.17
Patrick Bailey,7,0.24,5.83,0.25,3.17
Marco Luciano,8,0.25,5.83,0.27,3.17
Grant McCray,9,0.21,5.83,0.22,3.17
