Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Jake Cronenworth,Keider Montero,Right,Home,5,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Xander Bogaerts,Keider Montero,Right,Home,6,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Jackson Merrill,Keider Montero,Right,Home,7,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Kyle Higashioka,Keider Montero,Right,Home,8,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Mason McCoy,Keider Montero,Right,Home,9,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
JP Crawford,JP Sears,Left,Away,1,15,3,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Julio Rodriguez,JP Sears,Left,Away,2,16,3,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Cal Raleigh,JP Sears,Left,Away,3,4,0,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Randy Arozarena,JP Sears,Left,Away,4,0,0,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Jorge Polanco,JP Sears,Left,Away,5,0,0,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Justin Turner,JP Sears,Left,Away,6,2,1,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Luis Urias,JP Sears,Left,Away,7,1,0,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Mitch Garver,JP Sears,Left,Away,8,4,1,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Victor Robles,JP Sears,Left,Away,9,1,0,623.0,143,69.0,73,13,495.0,116,128.0,27,32.1,27,7
Lawrence Butler,George Kirby,Right,Home,1,3,1,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Brent Rooker,George Kirby,Right,Home,2,9,3,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
JJ Bleday,George Kirby,Right,Home,3,6,4,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Shea Langeliers,George Kirby,Right,Home,4,4,2,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Seth Brown,George Kirby,Right,Home,5,16,3,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Zack Gelof,George Kirby,Right,Home,6,5,3,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Tristan Gray,George Kirby,Right,Home,7,0,0,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Max Schuemann,George Kirby,Right,Home,8,2,0,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Jacob Wilson,George Kirby,Right,Home,9,0,0,658.0,158,90.2,93,12,357.0,82,301.0,76,25.0,37,6
Corbin Carroll,Hayden Birdsong,Right,Away,1,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Jake McCarthy,Hayden Birdsong,Right,Away,2,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Joc Pederson,Hayden Birdsong,Right,Away,3,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Christian Walker,Hayden Birdsong,Right,Away,4,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Pavin Smith,Hayden Birdsong,Right,Away,5,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Adrian Del Castillo,Hayden Birdsong,Right,Away,6,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Eugenio Suarez,Hayden Birdsong,Right,Away,7,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Luis Guillorme,Hayden Birdsong,Right,Away,8,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Geraldo Perdomo,Hayden Birdsong,Right,Away,9,0,0,212.0,40,19.0,16,10,93.0,20,119.0,20,4.2,5,2
Mike Yastrzemski,Zac Gallen,Right,Home,1,26,7,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Tyler Fitzgerald,Zac Gallen,Right,Home,2,0,0,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Heliot Ramos,Zac Gallen,Right,Home,3,0,0,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Michael Conforto,Zac Gallen,Right,Home,4,20,5,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Matt Chapman,Zac Gallen,Right,Home,5,7,0,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
LaMonte Wade Jr,Zac Gallen,Right,Home,6,27,6,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Patrick Bailey,Zac Gallen,Right,Home,7,5,3,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Marco Luciano,Zac Gallen,Right,Home,8,0,0,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
Grant McCray,Zac Gallen,Right,Home,9,0,0,511.0,116,54.0,52,24,258.0,59,253.0,57,27.1,30,12
