Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
TJ Friedl,Spencer Arrighetti,Right,Home,4,0,0,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Spencer Steer,Spencer Arrighetti,Right,Home,5,0,0,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Ty France,Spencer Arrighetti,Right,Home,6,3,1,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Jake Fraley,Spencer Arrighetti,Right,Home,7,0,0,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Santiago Espinal,Spencer Arrighetti,Right,Home,8,0,0,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Amed Rosario,Spencer Arrighetti,Right,Home,9,0,0,537.0,114,68.1,65,34,238.0,54,299.0,60,4.0,4,2
Dylan Crews,Valente Bellozo,Right,Away,1,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Jose Tena,Valente Bellozo,Right,Away,2,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Andres Chaparro,Valente Bellozo,Right,Away,3,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
James Wood,Valente Bellozo,Right,Away,4,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Luis Garcia Jr,Valente Bellozo,Right,Away,5,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Joey Gallo,Valente Bellozo,Right,Away,6,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
CJ Abrams,Valente Bellozo,Right,Away,7,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Keibert Ruiz,Valente Bellozo,Right,Away,8,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Jacob Young,Valente Bellozo,Right,Away,9,0,0,179.0,41,15.1,19,8,100.0,25,79.0,16,4.2,7,5
Xavier Edwards,MacKenzie Gore,Left,Home,1,0,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Connor Norby,MacKenzie Gore,Left,Home,2,0,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Jake Burger,MacKenzie Gore,Left,Home,3,3,1,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Jonah Bride,MacKenzie Gore,Left,Home,4,0,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Otto Lopez,MacKenzie Gore,Left,Home,5,3,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Cristian Pache,MacKenzie Gore,Left,Home,6,6,1,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
David Hensley,MacKenzie Gore,Left,Home,7,0,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Kyle Stowers,MacKenzie Gore,Left,Home,8,0,0,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Nick Fortes,MacKenzie Gore,Left,Home,9,3,1,617.0,158,59.1,65,18,463.0,116,154.0,42,10.1,17,3
Jarren Duran,Tylor Megill,Right,Away,1,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Wilyer Abreu,Tylor Megill,Right,Away,2,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Tyler O'Neill,Tylor Megill,Right,Away,3,2,1,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Rafael Devers,Tylor Megill,Right,Away,4,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Triston Casas,Tylor Megill,Right,Away,5,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Masataka Yoshida,Tylor Megill,Right,Away,6,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Connor Wong,Tylor Megill,Right,Away,7,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Enmanuel Valdez,Tylor Megill,Right,Away,8,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Ceddanne Rafaela,Tylor Megill,Right,Away,9,0,0,231.0,50,34.0,29,14,114.0,24,117.0,26,6.0,5,2
Francisco Lindor,Tanner Houck,Right,Home,1,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Brandon Nimmo,Tanner Houck,Right,Home,2,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Mark Vientos,Tanner Houck,Right,Home,3,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Pete Alonso,Tanner Houck,Right,Home,4,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
